"AOSNUMBER","City","County","State","Agency","Type of LEA","Summary","Type of Juris","Technology","Vendor","Link 1","Link 1 Snapshot","Link 1 Source","Link 1 Type","Link 1 Date","Link 2","Link 2 Snapshot","Link 2 Source","Link 2 Type","Link 2 Date","Link 3","Link 3 Snapshot","Link 3 Source","Link 3 Type","Link 3 Date"
"AOS0011","Peachtree City","Fayette County","GA","Peachtree City Police Department","Police","As of June 2018, all officers in the Peachtree City Police Department use body-worn cameras. ","Municipal","Body-worn Cameras","","https://thecitizen.com/2018/06/04/police-body-cameras-now-common-use-fayetteville-peachtree-city-tyrone/","","The Citizen","","06/04/2018","","","","","","","","","",""
"AOS0012","Deming","Luna County","NM","Luna County Sheriff's Department","Sheriff","The Luna County  Sheriff's Department began using Axon body-worn cameras in 2014.","County","Body-worn Cameras","Axon","https://investor.axon.com/press-releases/press-release-details/2014/CORRECTION---TASER-International/default.aspx","","Axon ","","09/15/2014","","","","","","","","","",""
"AOS0013","Vail","Eagle County","CO","Vail Police Department","Police","As of 2016, all Vail Police Department officers are equipped with Coban body-worn cameras. ","Municipal","Body-worn Cameras","Coban","http://www.vailgov.com/Portals/0/docs/Police/VPD%20BWC%20policy.pdf","","Vail Police Department","","","https://www.vailgov.com/Portals/0/docs/Police/annual-reports/VPD-Annual-Report-2016.pdf","","Vail Police Department","","2016","","","","",""
"AOS0014","Abilene","Taylor County","TX","Taylor County Sheriff's Office","Sheriff","In April 2016, the Taylor County Sheriff's Office purchased Coban body-worn cameras with matching funds from the state Criminal Justice Division. ","County","Body-worn Cameras","Coban","https://ktxs.com/news/abilene/body-cameras-approved-for-taylor-county-sheriffs-office","","KTXS-TV","","04/05/2016","http://taylorcountytexas.org/AgendaCenter/ViewFile/Agenda/04052016-123?html=true","","Taylor County Commissioner's Court","","04/05/2016","","","","",""
"AOS0015","Ocala","Marion County","FL","Ocala Police Department","Police","In September 2014, the Oscala Police Department received $130,775 to purchase 130 body-worn cameras. ","Municipal","Body-worn Cameras","","https://www.usatoday.com/story/news/2014/09/18/ocala-police-body-cameras/15862567/","","Associated Press","","09/18/2014","https://www.facebook.com/watch/?v=654330455017199","","Facebook: Ocala Police Department","","09/05/2018","","","","",""
"AOS0016","Grand Forks","Grand Forks County","ND","University of North Dakota Police Department","Police","The University of North Dakota Police Department began using body-worn cameras in 2014.","University","Body-worn Cameras","","https://www.prairiebusinessmagazine.com/news/education/3971414-cameras-new-officers-among-measures-bolster-und-security","","Prairie Business Magazine","","08/26/2014","","","","","","","","","",""
"AOS0017","Broomfield","Broomfield County","CO","Broomfield Police Department","Police","The Broomfield Police Department spent $19,150 on a stationary automatic license plate reader in 2019 ","Municipal","Automated License Plate Readers","","https://www.broomfield.org/DocumentCenter/View/29886/2019AnnualBudget_Final?bidId=","","City and County of Bloomfield Colorado ","","2019","","","","","","","","","",""
"AOS0018","Edgewood","Santa Fe County","NM","Edgewood Police Department","Police","The Town of Edgewood spent $7,510 on Coban-brand body-worn cameras in March 2016.  ","Municipal","Body-worn Cameras","Coban","https://www.facebook.com/edgewoodpolicedepartmentnm/photos/a.961972543924308/2615310265257186/?type=3&theater","","Facebook","","12/12/2019","https://www.edgewood-nm.gov/document_center/Agendas%20Council/2016/04202016.pdf","","Town of Edgewood public meeting agenda","","4/20/2016","","","","",""
"AOS0019","Beaumont","Jefferson County","TX","Jefferson County Sheriff's Office","Sheriff","The Jefferson County Sheriff's Office uses body-worn cameras. ","County","Body-worn Cameras","","https://co.jefferson.tx.us/agenda/agendas_pl/20160711_346/Attachments/RESOLUTION%20FOR%20BODY%20WORN%20CAMERA%20GRANT.pdf","","Jefferson County Commissioner's Court","","2016","https://www.facebook.com/jcso.beaumont/photos/a.1145453048802759/2832732920074755/?type=3&theater","","Facebook","","07/19/2019","","","","",""
"AOS0020","Irvington","Westchester County","NY","Irvington Police Department","Police","The Irvington Police Department has used automated license plate readers since at least 2012. ","Municipal","Automated License Plate Readers","","http://www.irvingtonny.gov/CivicAlerts.aspx?AID=911&ARC=1629","","irvington new york website","","11/04/2014","https://dailyvoice.com/new-york/tarrytown/news/irvington-police-checkpoint-yields-52-summonses/486504/","","The Daily Voice","","05/30/2012","","","","",""
"AOS0021","Madison","Madison County","AL","Madison Police Department","Police","The Madison Police Department purchased 63 Coban body-worn cameras in 2018. ","Municipal","Body-worn Cameras","Coban","https://whnt.com/2018/04/25/madison-police-to-get-body-worn-cameras-and-phase-them-in-this-year/","","WHNT News","","04/25/2018","https://www.waaytv.com/content/news/Madison-Police-Department-to-get-body-worn-cameras--480635881.html","","WAAY 31","","04/23/2018","","","","",""
"AOS0022","Greenville","Pitt County","NC","Greenville Police Department","Police","The Greenville Police Department implemented body-worn cameras in 2017, starting with 200 Coban-brand cameras. ","Municipal","Body-worn Cameras","Coban","https://web.archive.org/web/20170624104403/https://www.reflector.com/news/2017/05/26/greenville-police-rolling-out-body-cameras.html","","The Daily Reflector ","","05/26/2017","https://www.greenvilleonline.com/story/news/crime/2018/06/26/greenville-police-phase-out-dashcams-rely-body-cameras/714662002/","","Greenville News (part of USA Today)","","06/26/2018","","","","",""
"AOS0023","Lubbock","Lubbock County","TX","Texas Tech Police Department","Police","The Texas Tech Police Department has been uses Coban body-worn cameras. ","University","Body-worn Cameras","Coban","https://www.facebook.com/TTAA/photos/pcb.10155445970627131/10155445968027131/?type=3&theater","","Facebook","","09/10/2018","https://www.kcbd.com/story/36556988/texas-tech-police-officer-shot-killed-on-campus-suspect-in-custody/","","KCBD News","","09/10/2017","","","","",""
"AOS0025","Canton","Stark County","OH","Canton Police Department","Police","The Canton Police Department began using a Shotspotter gunshot detection system in 2013, but switched to Wi-fiber's gunshot detection technology in 2019. ","Municipal","Gunshot Detection","Wi-fiber","https://www.cantonrep.com/news/20190812/canton-replacing-shotspotter-with-new-system","","Cantonrep.com","","8/12/2019","https://www.digitaltrends.com/home/wi-fiber-surveillance-ces2018/","","digitaltrends.com","","1/16/2018","","","","",""
"AOS0026","Upper Saucon","Lehigh County","PA","Upper Saucon Police Department","Police","Upper Saucon Township's 2017 budget identifies purchase of mobile license plate reader and related equipment using a $40,000 gaming grant. ","Municipal","Automated License Plate Readers","","https://www.uppersaucon.org/wp-content/uploads/2015/12/2017-Budget-FINAL.pdf","","Upper Saucon Township","","12/19/2016","","","","","","","","","",""
"AOS0028","Burnet","Burnet County","TX","Burnet County Constables","Constables","The Burnet County Constables outfitted two patrol cars with automated plate readers in 2016. The data is kept for 30 days. ","County","Automated License Plate Readers","","https://www.dailytrib.com/2016/02/01/new-technology-helps-constables-match-license-plates-with-warrants/","","Dailytrib.com","","2/1/2016","","","","","","","","","",""
"AOS0029","Oregon","Lucas County","OH","Oregon Police Division","Police","The Oregon Police Division began using body-worn cameras in 2016. ","Municipal","Body-worn Cameras","Coban","https://www.oregonohio.org/images/stories/docs/citycouncil/minutes/2016/M20160606%20C.pdf","","City of Oregon, Ohio","","06/06/2016","https://www.facebook.com/OregonOhioPolice/photos/a.621037904603345/3189138407793269/?type=3&theater","","Facebook page for the police department","","08/14/2019","","","","",""
"AOS0031","East Chicago","Lake County","IN","East Chicago Police Department","Police","East Chicago Poliice Department began using Shotspotter gunshot detection technology in 2013. ","Municipal","Gunshot Detection","ShotSpotter","https://www.nwitimes.com/news/local/crime-and-courts/update-neighbors-say-multiple-shots-heard-the-night-before-body/article_e825f9c2-ff81-5531-99a6-e3039fe21a52.html","","The Times of Northwest Indiana ","","08/04/2014","https://www.businesswire.com/news/home/20131016006012/en/East-Chicago-Police-Department-Announces-ShotSpotter%E2%84%A2-Gunfire","","Shotspotter","","10/16/2013","","","","",""
"AOS0032","Bowling Green","Warren County","KY","Bowling Green Police Department","Police","The Bowling Green Police Department purchased 95 Coban body-worn Cameras in 2016.","Municipal","Body-worn Cameras","Coban","https://www.bgdailynews.com/news/bgpd-officers-to-have-body-cams-by-the-end-of/article_85d591d1-1a6d-50c8-b7cb-57b5b2109c5a.html","","Bowling Green Daily News organization ","","05/19/2016","https://www.wbko.com/content/news/The-view-from-a-police-body-cam-and-the-story-it-tells-446281113.html","","WBKO Local News ","","09/20/2017","","","","",""
"AOS0033","Doral","Miami-Dade County","FL","Miami-Dade Police Department","Police","Miami-Dade Police Department began using ShotSpotter in 2011, but abandoned it in 2014. MDPD reintroduced the technology in 2016.","County","Gunshot Detection","ShotSpotter","https://www.miaminewtimes.com/news/miami-dade-police-spending-up-to-5-million-on-gunshot-detector-they-said-doesnt-work-8790892","","Miami New Times ","","9/22/2016","https://www.nbcmiami.com/news/local/Thousands-Gunshots-Few-Arrests-Miami-Police-NBC-Investigators.html","","NBC Miami","","","","","","",""
"AOS0034","Miami","Miami-Dade County","FL","Miami Police Department","Police","Miami Police Department began using Shotspotter gunshot detection technology in 2014 and tripled the area covered in 2017. ","Municipal","Gunshot Detection","ShotSpotter","https://www.miamiherald.com/news/local/community/miami-dade/article176206371.html","","Miami Herald ","","9/29/2017","","","","","","","","","",""
"AOS0035","Clarksburg","Harrison County","WV","Harrison County Sheriff's Office","Sheriff","The Harrison County Sheriff's Office receives alerts from automated license plate readers that were installed through a joint effort by many cities in West Virginia. In 2018, the sheriff's office used grant money from the West Virginia Department of Homeland Security to install ALPRs at the U.S. 50/Interstate 79 intersection.","County","Automated License Plate Readers","","https://www.wvnews.com/theet/news/it-s-a-very-valuable-tool-license-plate-readers-helping/article_74db0b9c-046a-5d91-860c-e57c81409e59.html","","The Exponent Telegram","","5/12/2019 ","https://www.wdtv.com/content/news/License-plate-readers-to-be-installed-at-Rt-50-and-I-79-intersection-491403441.html","","WDTV","","08/21/2018","","","","",""
"AOS0036","Holbrook","Navajo County","AZ","Navajo County Sheriff's Office","Sheriff","Navajo County Sheriff's Office has been using automatic license plate readers since 2013.","County","Automated License Plate Readers","","https://tribunenewsnow.com/sheriffs-office-increases-use-of-lpr-cameras","","The Tribune","","2/20/2018","","","","","","","","","",""
"AOS0037","Corpus Christi","Nueces County","TX","Corpus Christi Police Department","Police","The Corpus Christi Police Department has 178 body-worn cameras as of May 2019. ","Municipal","Body-worn Cameras","","https://www.caller.com/story/news/crime/2019/05/02/corpus-christi-police-officials-no-body-cam-torreon-shooting/3655170002/","","Caller Times ","","05/02/2019","https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html","","U.S Department of Justice","","2015","","","","",""
"AOS0038","Harker Heights","Bell County","TX","Harker Heights Police Department","Police","The Harker Heights Police Department patrol officers wear Coban body-worn cameras. ","Municipal","Body-worn Cameras","Coban","http://www.ci.harker-heights.tx.us/images/PDF/HarkerHeightsFY2017-2018BudgetBook.pdf","","Harker Heights government website.","","2017/2018","https://www.facebook.com/harkerheightspd/photos/a.1677204508960964/3483623328319064/?type=3&theater","","Harker Heights Police Department Facebook","","01/14/2020","","","","",""
"AOS0039","Calumet City","Cook County","IL","Calumet City Police Department","Police","The Calumet City Police Department began using Shotspotter gunshot detection technology in 2018. ","Municipal","Gunshot Detection","ShotSpotter","https://calumetcity.org/uncategorized/calumet-city-police-join-select-company-with-crime-fighting-device/","","Calumet City Police","","04/03/2018","https://www.chicagotribune.com/suburbs/daily-southtown/ct-sta-calumet-city-shotspotter-st-0404-20180403-story.html","","Chicago Tribune","","04/03/2018","","","","",""
"AOS0041","Pittsburgh","Allegheny County","PA","Baldwin Police Department","Police","The Baldin Police Department has used automated license plate readers since 2011. It purchased another ALPR system in 2018 with asset forfeiture funds","Municipal","Automated License Plate Readers","","https://www.post-gazette.com/local/region/2015/04/05/license-plate-recognition-homeland-security-privacy-data/stories/201504030307","","Pittsburgh Post Gazette","","04/04/2015","https://www.baldwinborough.org/ArchiveCenter/ViewFile/Item/65","","Baldwin Borough 2018 Budget","","2018","","","","",""
"AOS0042","Quartzsite","La Paz County","AZ","Quartzsite Police Department","Police","In September 2017,  the Quartzsite Police Department purchased a police car equipped with an automated license plate reader with funds from the Arizona Automobile Theft Authority. ","Municipal","Automated License Plate Readers","","https://www.parkerpioneer.net/news/article_3bb4e6be-a2e8-11e7-9392-4ffb8b6a7bb3.html","","Parker Pioneer","","09/26/2017","","","","","","","","","",""
"AOS0043","Avon","Lorain County","OH","Avon Police Department","Police","The Avon Police Department spent $20,000 to equip all 35 of its officers with body-worn cameras in 2016. ","Municipal","Body-worn Cameras","","https://www.cleveland.com/avon/2016/01/avon_police_wear_body_cameras.html","","Cleveland.com, northeast Ohio news source","","01/11/2019","https://www.facebook.com/AvonOH/photos/a.366117700257281/744941325708248/?type=3&theater","","City of Avon, Ohio Facebook photo","","01/19/2018","","","","",""
"AOS0044","Goldsboro","Wayne County","NC","Wayne County Sheriff's Office","Sheriff","In April 2017, the Wayne County Sheriff's Office filed a request to reallocate $10,000 for the purchase of two new automated license plate readers, one of which was a replacement for a broken camera.","County","Automated License Plate Readers","ELSAG","https://www.waynegov.com/AgendaCenter/ViewFile/Agenda/_04182017-424","","Wayne County Gov.","","04/19/2017","","","","","","","","","",""
"AOS0045","Neptune City","Monmouth County","NJ","Neptune Township Police Department","Police","The Neptune Township Police Department has both stationary and vehicle-mounted automated license plate readers, and have used them since at least 2016.","Municipal","Automated License Plate Readers","","http://www.neptunetownship.org/sites/default/files/documents/Police/Annual%20Report%202016.pdf","","Neptune Townshipt","","2016","https://www.app.com/story/news/local/communitychange/2017/03/28/neptune-police-see-something-say-something/99711454/","","APP","","03/28/2017","http://www.neptunetownship.org/sites/default/files/documents/2019Clerk/JANUARY%2014%202019%20Minutes.pdf","","Government Site","","01/14/2019"
"AOS0046","Poughkeepsie","Dutchess County","NY","Poughkeepsie Police Department","Police","In 2012, the Town of Poughkeepsie Police Department spent $14,943 on ELSAG automated license plate readers . ","Municipal","Automated License Plate Readers","ELSAG","https://www.aclu.org/sites/default/files/field_document/alprpra_cityofpoughkeepsie_poughkeepsieny_1.pdf","","American Civil Liberties Union (ACLU)","","12/06/2012","","","","","","","","","",""
"AOS0047","Poughkeepsie","Dutchess County","NY","Poughkeepsie Police Department","Police","The Town of Poughkeepsie Police Department's Technology Operations division maintains and operates an automated license plate reader system. ","Municipal","Automated License Plate Readers","","http://www.townpolice.net/specialized-units/technology-operations","","Town of Poughkeepsie Police Department","","","","","","","","","","","",""
"AOS0048","Poughkeepsie","Dutchess County","NY","Poughkeepsie Police Department","Police","As of January 2020, the Town of Poughkeepsie Police Department will spend $510,120 for 65 body cameras and equipment over the next five years.","Municipal","Body-worn Cameras","Axon","https://cityofpoughkeepsie.com/police-department/2020/01/23/city-of-poughkeepsie-police-begin-using-body-worn-cameras/","","City of Poughkeepsie Police Department","","01/23/2020","","","","","","","","","",""
"AOS0050","Pueblo","Pueblo County","CO","Pueblo Police Department","Police","The Pueblo Police Department began using ELSAG automated license plate readers in 2010. PPD added another ALPR system in 2018. The Pueblo Transportation Department also added Nupark ALPR systems, which is checked against the Pueblo Police Department's hot lists. ","Municipal","Automated License Plate Readers","ELSAG","https://www.pueblo.us/DocumentCenter/View/22628/LPR-Privacy-Policy?bidId=","","City of Pueblo Colorado ","","","https://www.pueblo.us/ArchiveCenter/ViewFile/Item/195","","Pueblo Police Department Annual Report","","2010","https://www.chieftain.com/news/20190617/pueblo-police-get-another-license-plate-reader","","Pueblo Chieftain","","06/17/2019"
"AOS0051","Newburgh","Orange County","NY","Newburgh Police Department","Police","The Newburg Police Department began using Shotspotter gunshot detection technology in 2017, but the system was cut from the 2020 budget. As of January 2020, Shotspotter was still operational as police sought supplementary funding.","Municipal","Gunshot Detection","ShotSpotter","https://www.dailyfreeman.com/news/police-blotter/newburgh-seeks-funding-for-shot-spotter-program/article_7db3d098-2ff9-11ea-9596-7f78c4fcb36b.html","","Daily Freeman","","1/5/2020","https://www.cityofnewburgh-ny.gov/sites/newburghny/files/news/newburgh_pd_crime_reduction.pdf","","Newburgh Police Department","","5/9/2019","","","","",""
"AOS0052","Holmdel","Monmouth County","NJ","Holmdel Police Department","Police","In 2012, the Holmdel Police Department spent $18,000 on ELSAG automated license plate readers.","Municipal","Automated License Plate Readers","ELSAG","https://patch.com/new-jersey/holmdel-hazlet/holmdel-police-invest-in-license-plate-reader-technology","","Patch local paper","","07/10/2012","https://www.facebook.com/MonmouthCountyPoliceFireEMS/posts/holmdel-pd-patrol-car-equipped-with-plate-reader-technology-leads-to-stolen-vehi/810400645664115/","","Facebook post","","01/22/2015","https://patch.com/new-jersey/holmdel-hazlet/hazlet-man-arrested-for-operating-alleged-stolen-vehicle","","News Article","","07/25/2012"
"AOS0053","Aberdeen Township","Monmouth County","NJ","Aberdeen Township Police Department","Police","The Aberdeen Township Police Department began using automated license plate readers in December 2013.","Municipal","Automated License Plate Readers","","http://www.aberdeennj.org/filestorage/204/211/306/Newsletter.PDF","","Aberdeen Update (Official Township Newsletter) ","","2014","","","","","","","","","",""
"AOS0054","Rockwall","Rockwall County","TX","Rockwall Police Department","Police","In 2017, the Rockwall Police Department received a grant from the governor of Texas to outfit every patrol officer with body-worn cameras. In 2018, RPD switched from Coban to GETAC-brand cameras. The city's 2020 budget included $47,000 for GETAC-brand BWCs.","Municipal","Body-worn Cameras","Getac","http://www.rockwall.com/documents/finance/FY20%20Proposed%20Budget.pdf","","City of Rockwall","","08/19/2019","http://www.rockwall.com/Meetings/CouncilMinutes/2018/03-19-18%20cc%20mtg%20mins.pdf","","City of Rockwall","","03/19/2018","","","","",""
"AOS0055","Jefferson","Jefferson County","WI","Jefferson County Sheriff's Office","Sheriff","The Jefferson County Sheriff's Office uses body-worn cameras. ","County","Body-worn Cameras","","https://www.facebook.com/678284275517798/photos/a.689632877716271/3070438786302323/?type=3&theater","","Jefferson County Sheriff's Office's Facebook Page","","03/05/2020","https://www.doj.state.wi.us/sites/default/files/oid-reports/18-226/DCI%20Investigative%20File%20Public%20Records%20Release%20-%20DCI%20Case%20Reports.pdf","","Wisconsin Department of Justice ","","01/14/2018","","","","",""
"AOS0056","Tallahassee","Leon County","FL","Florida State University Police Department","Police","The Florida State University Police Department began using body-worn cameras as early as 2014.","University","Body-worn Cameras","Coban","https://www.fsunews.com/story/news/2014/12/03/fsupd-invests-in-police-body-cameras/19904629/","","FSU News","","12/04/2014","https://www.facebook.com/FSUPoliceDepartment/photos/a.682295928470850/2688361991197557/?type=3&theater","","Facebook","","09/25/2019","","","","",""
"AOS0057","Easton","Northampton County","PA","Easton Police Department","Police","The Easton Police Department purchased 61 body-worn Cameras in 2019.","Municipal","Body-worn Cameras","","https://www.mcall.com/news/local/easton/mc-nws-easton-body-cam-20191013-vk6sahxtwfdajjkcvbuq5yhbeu-story.html","","Morning Call","","10/13/2019","","","","","","","","","",""
"AOS0058","Voorhees","Camden County","NJ","Voorhees Police Department","Police","The Voorhees Police Department and the Berlin Police Department agreed to share an automated license plate recognition system in 2013. ","Municipal","Automated License Plate Readers","","http://njlm.generalcode.com/sites/default/files/License%20Plate.pdf","","GeneralCode.com","","2013","","","","","","","","","",""
"AOS0059","Berlin","Camden County","NJ","Berlin Police Department","Police","The Voorhees Police Department and the Berlin Police Department agreed to share an automated license plate recognition system in 2013. ","Municipal","Automated License Plate Readers","","http://njlm.generalcode.com/sites/default/files/License%20Plate.pdf","","NJLM","","2013","","","","","","","","","",""
"AOS0060","Easton","Northampton County","PA","Easton Police Department","Police","In 2017, the Mayor of Easton approved a surveillance camera plan to ""flood the West Ward with license plate recognition software"" so the Easton Police Department can ""record every single vehicle."" ","Municipal","Automated License Plate Readers","","https://www.wfmz.com/business/easton-to-install-new-surveillance-system-in-west-ward/article_9d3eae74-2807-5950-a889-a50f255ec0ca.html","","WFMZ","","05/16/2017","https://www.aclu.org/files/FilesPDFs/ALPR/federal/BJA/20230-20239%20City%20of%20Bethlehem.pdf","","ACLU","","07/20/2011","","","","",""
"AOS0061","Urbana","Champaign County","OH","Urbana Police Division","Police","According to the Urbana Police Division's 2010 annual report,  the agency purchased an automated license plate reader through a U.S. Department of Homeland Security grant. ","Municipal","Automated License Plate Readers","","https://www.urbanaohio.com/uploads/1/2/4/6/124631710/2010_annual_report.pdf","","City of Urbana","","2010","","","","","","","","","",""
"AOS0062","Georgetown","Georgetown County","SC","Georgetown County Sheriff's Office","Sheriff","The Georgetown County Sheriff's Office started its body-worn camera program in 2015 with 25 cameras. As of 2020, deputies wear Coban BWCs.","County","Body-worn Cameras","Coban","https://www.facebook.com/147036171974447/photos/a.252161554795241/2944260335585336/?type=3&theater","","Facebook","","01/09/2020","https://www.aclusc.org/en/news/police-body-cameras-gain-support-from-politicians","","Myrtle Beach Online","","04/15/2015","","","","",""
"AOS0063","Stafford","Stafford County","VA","Stafford County Sheriff's Office","Sheriff","According the Free Lance-Star, the Stafford County Sheriff's Office has operated automated license plate Rreaders since March 2011.","County","Automated License Plate Readers","","https://www.fredericksburg.com/news/who-has-your-license-plate-data/article_2fdab69a-4dca-5776-85b7-fb194cf9d5e1.html","","Fredericksburg.com","","07/27/2013","","","","","","","","","",""
"AOS0064","Paterson","Passaic County","NJ","Paterson Police Department","Police","The Paterson Police Department implemented ShotSpotter gunshot detection technology in 2007. ","Municipal","Gunshot Detection","ShotSpotter","https://www.govtech.com/dc/articles/Paterson-NJ-Improves-Public-Safety-with.html","","Government Technology","","09/25/2007","https://www.shotspotter.com/news/in-njs-high-crime-cities-police-alerted-of-gunshots-in-seconds-read-more-in-njs-high-crime-citi/","","ShotSpotter","","11/28/2016","https://www.rlsmedia.com/article/shotspotter-activation-detects-gunfire-paterson-neighborhood","","RLS Media","","10/1/2019"
"AOS0069","Buckhannon","Upshur County","WV","Buckhannon Police Department","Police","The Buckhannon Police Department spent $14,000 on nine body-worn cameras in early 2015. ","Municipal","Body-worn Cameras","","https://wvpress.org/copydesk/insight/buckhannon-police-wear-body-cameras/","","The Inter-Mountain","","09/25/2014","","","","","","","","","",""
"AOS0071","Winter Haven","Polk County","FL","Polk County Sheriff's Office","Sheriff","The Polk County Sheriff's Office operates 11 automated license plate reader systems as of 2018. ","County","Automated License Plate Readers","","https://www.muckrock.com/foi/polk-county-204/automated-license-plate-reader-alpr-adoption-use-and-data-retention-policies-polk-county-sheriff-65976/","","MuckRock","","12/18/18","https://www.wtsp.com/article/news/investigations/10-investigates/your-license-plate-under-surveillance-more-tampa-bay-area-agencies-using-automatic-readers/67-599749753","","10 News","","10/1/18","","","","",""
"AOS0072","Bradenton","Manatee County","FL","Manatee County Sheriff's Office","Sheriff","The Manatee County Sheriff's Office has eight automated license plate readers, as of 2018. ","County","Automated License Plate Readers","","https://www.wtsp.com/article/news/investigations/10-investigates/your-license-plate-under-surveillance-more-tampa-bay-area-agencies-using-automatic-readers/67-599749753","","10 News","","10/1/18","","","","","","","","","",""
"AOS0073","New Port Richey","Pasco County","FL","Pasco County Sheriff's Office","Sheriff","The Pasco County Sheriff's Office has five automated license plate readers as of 2018. ","County","Automated License Plate Readers","","https://www.wtsp.com/article/news/investigations/10-investigates/your-license-plate-under-surveillance-more-tampa-bay-area-agencies-using-automatic-readers/67-599749753","","10 News","","10/1/18","","","","","","","","","",""
